clip,timestamp,rat003_area,rat003_center_x,rat003_center_y,rat003_perimeter,rat004_area,rat004_center_x,rat004_center_y,rat004_perimeter,rat005_area,rat005_center_x,rat005_center_y,rat005_perimeter,rat006_area,rat006_center_x,rat006_center_y,rat006_perimeter,rat007_area,rat007_center_x,rat007_center_y,rat007_perimeter,rat010_area,rat010_center_x,rat010_center_y,rat010_perimeter,rat030_area,rat030_center_x,rat030_center_y,rat030_perimeter,rat031_area,rat031_center_x,rat031_center_y,rat031_perimeter,rat032_area,rat032_center_x,rat032_center_y,rat032_perimeter,rat033_area,rat033_center_x,rat033_center_y,rat033_perimeter,rat034_area,rat034_center_x,rat034_center_y,rat034_perimeter,rat035_area,rat035_center_x,rat035_center_y,rat035_perimeter
C1,,4519,1435,415,304.0660148859024,4579,2076,461,291.37972342967987,4538,1665,925,363.6051206588745,5819,2084,381,406.0904,5092,1806,846,501.0853488445282,5748,1949,823,315.1787130832672,5598,537,837,526.5584375858307,3547,599,416,256.6101714372635,5412,375,286,287.66399443149567,4231,313,665,289.4213536977768,4459,1022,166,426.2914106845856,4123,671,93,376.1492756605148
C1,1.7188909790672463e+18,4468,1440,417,305.8233743906021,5761,2050,460,331.9066344499588,3821,1664,923,261.7644991874695,5459,2083,382,381.2619729042053,4997,1790,824,489.7127642631531,6179,1936,829,331.52185893058777,5258,529,844,520.7005717754364,4903,578,417,341.1370829343796,5547,375,289,300.10764610767365,4324,313,664,291.17871284484863,5108,1034,178,431.2619737386704,3876,670,92,366.3919161558151
C1,1.7188909791672463e+18,4380,1443,419,301.1370829343796,6937,2026,449,453.2030997276306,3794,1663,926,259.17871284484863,5339,2084,382,386.19090497493744,4611,1780,806,468.6416994333267,6743,1931,834,480.6173138618469,5349,523,853,522.4995603561401,5319,569,418,349.2375878095627,5954,377,301,334.00713992118835,4197,317,664,285.5218588113785,5949,1041,179,493.20309817790985,3652,669,91,363.5634893
C1,1.718890979267246e+18,4095,1450,419,284.5512963533401,5115,1974,429,312.24978053569794,3731,1658,927,253.1787135601044,6374,2077,393,435.8893896341324,4444,1774,799,455.6295040845871,6223,1928,833,465.5878734588623,5379,523,856,517.1269783973694,4918,568,419,341.2375884056092,5758,378,329,345.07820892333984,4245,320,667,277.1370829343796,6038,1044,176,501.3452330827713,3257,671,90,357.0782074928284
C1,1.718890979367246e+18,4084,1461,418,286.3086562156677,4780,1951,420,305.22034299373627,5107,1641,933,313.3208496570587,5787,2078,396,344.5756821632385,4377,1771,798,477.2447278499603,5890,1926,831,443.8893896341324,5542,524,856,516.8427078723907,5205,563,419,348.2081501483917,4025,384,369,277.5218584537506,4241,319,669,280.8944433927536,6143,1046,176,497.5878733,3126,672,90,356.8355669975281
C1,1.718890979467246e+18,3923,1469,417,280.9949481487274,4728,1943,418,299.4213534593582,5707,1630,934,328.3502861261368,5795,2080,393,349.0193325281143,4154,1767,791,416.6761864423752,5818,1924,833,414.6173137426376,5953,516,857,517.0437191724777,5534,564,417,363.76449978351593,3750,385,391,249.3797235488892,4383,311,670,289.9655102491379,5788,1042,177,482.6173117160797,3068,671,90,355.6639943122864
C1,1.718890979567246e+18,3825,1466,418,275.23758828639984,4639,1937,417,306.30865597724915,6309,1612,933,350.5929263830185,5647,2081,391,335.11983823776245,4202,1768,793,437.8477591276169,6407,1918,839,451.3868638277054,6204,501,861,532.2152901887894,5574,557,416,353.7644989490509,3842,384,398,246.0660156011581,4378,293,668,323.9238804578781,5322,1038,178,459.7888834476471,3141,672,90,357.0782074928284
C1,1.718890979667246e+18,3937,1463,419,277.8233745098114,4233,1922,424,306.89444279670715,5981,1601,934,340.7939371,5399,2085,389,323.9066343307495,4134,1768,792,406.5340509414673,6646,1914,846,504.6416965723038,6473,481,870,528.4751765727997,5648,555,416,351.2792178,3913,384,402,246.0660150051117,4315,278,666,358.30865585803986,5027,1038,179,449.3452328443527,3209,673,90,361.3208482265472
C1,1.7188909797672458e+18,3904,1461,421,279.7228693962097,4093,1915,428,286.4091616,5712,1590,935,330.7939373254776,5550,2085,391,302.73506212234497,4041,1769,792,411.5046138763428,6893,1906,857,532.7838322,6667,461,870,542.6173119544983,5572,554,416,343.9655097723007,3818,381,405,241.62236404418945,4960,250,668,354.79393696784973,5141,1044,180,470.4579309225082,3220,675,89,362.0487705469132
C1,1.7188909798672458e+18,3979,1461,424,290.93607223033905,3540,1919,425,266.5512968301773,5776,1576,934,337.3797235488892,5362,2087,390,297.4213534593582,3999,1769,792,400.0904010534287,6487,1890,867,535.5117553472519,6350,451,869,529.0020883083344,5309,557,417,331.37972378730774,3773,371,398,244.99494791030884,4264,225,670,304.45079147815704,5168,1050,181,475.7716392278671,3286,676,89,368.5340512990952
