event_id,date,start_time,end_time,type,location,animal_location,initiator,victim,winner,loser,intervenor,observer,other_notes,datetime_start,datetime_end,duration,ts_start,ts_end,group_id_initiator,group_id_victim,group_id_winner,group_id_loser,group_id_intervenor,event_A2A,event_B2B,event_A2B,event_B2A,event_ingroup,success,epoch,merge_day,food_epoch,relative_time,player_pair_set,pre_winner,pre_loser,pre_event_interval
1,2024-06-13,17:42:35.0,17:43:06.0,I,left,,,,,,,,,2024-06-13 17:42:35,2024-06-13 17:43:06,31.0,1718314955000000000,1718314986000000000,,,,,,,,,,,,1.0,-6,,,[NaN],,,
2,2024-06-13,17:45:42.0,17:46:53.0,I,right,,,,,,,,,2024-06-13 17:45:42,2024-06-13 17:46:53,71.0,1718315142000000000,1718315213000000000,,,,,,,,,,,,1.0,-6,,,[NaN],,,187.0
3,2024-06-13,18:03:29.0,18:03:31.0,FD,left,,,,,,,,,2024-06-13 18:03:29,2024-06-13 18:03:31,2.0,1718316209000000000,1718316211000000000,,,,,,,,,,,,1.0,-6,1.0,2.0,[NaN],,,1067.0
32,2024-06-13,18:04:13.0,18:04:14.0,FD,right,,,,,,,,,2024-06-13 18:04:13,2024-06-13 18:04:14,1.0,1718316253000000000,1718316254000000000,,,,,,,,,,,,1.0,-6,2.0,1.0,[NaN],,,0.0
33,2024-06-13,18:04:24.0,18:04:51.0,FM,right,,rat032,,,,,,"NL, turf, near IR tube wall",2024-06-13 18:04:24,2024-06-13 18:04:51,27.0,1718316264000000000,1718316291000000000,B,,,,,,,,,,,1.0,-6,2.0,38.0,"[NaN, ""rat032""]",,,-574.0
34,2024-06-13,18:04:50.0,18:05:19.0,FM,right,,rat033,,,,,,"NL, IR tube",2024-06-13 18:04:50,2024-06-13 18:05:19,29.0,1718316290000000000,1718316319000000000,B,,,,,,,,,,,1.0,-6,2.0,66.0,"[NaN, ""rat033""]",,,-218.0
36,2024-06-13,18:05:25.0,18:05:59.0,FM,right,,rat034,,,,,,"NL, turf, near soil cage",2024-06-13 18:05:25,2024-06-13 18:05:59,34.0,1718316325000000000,1718316359000000000,B,,,,,,,,,,,1.0,-6,2.0,106.0,"[NaN, ""rat034""]",,,0.0
35,2024-06-13,18:05:27.0,18:05:44.0,FM,right,,rat032,,,,,,"NL, turf, near carefresh cage",2024-06-13 18:05:27,2024-06-13 18:05:44,17.0,1718316327000000000,1718316344000000000,B,,,,,,,,,,,1.0,-6,2.0,91.0,"[NaN, ""rat032""]",,,-511.0
37,2024-06-13,18:05:41.0,18:06:02.0,FM,right,,rat035,,,,,,"NL, turf, near right bottom cornner",2024-06-13 18:05:41,2024-06-13 18:06:02,21.0,1718316341000000000,1718316362000000000,B,,,,,,,,,,,1.0,-6,2.0,109.0,"[NaN, ""rat035""]",,,-340.0
38,2024-06-13,18:06:39.0,18:06:57.0,FM,right,,rat032,,,,,,"NL, turf, near IR tube wall",2024-06-13 18:06:39,2024-06-13 18:06:57,18.0,1718316399000000000,1718316417000000000,B,,,,,,,,,,,1.0,-6,2.0,164.0,"[NaN, ""rat032""]",,,-439.0
39,2024-06-13,18:06:57.0,18:07:34.0,FM,right,,rat033,,,,,,"NL, IR tube",2024-06-13 18:06:57,2024-06-13 18:07:34,37.0,1718316417000000000,1718316454000000000,B,,,,,,,,,,,1.0,-6,2.0,201.0,"[NaN, ""rat033""]",,,-91.0
40,2024-06-13,18:07:39.0,18:07:42.0,R,right,,rat033,rat031,rat031,rat033,,,"033 put down food and go to see 031, 031 escape, 033 back to pick up original food pellet",2024-06-13 18:07:39,2024-06-13 18:07:42,3.0,1718316459000000000,1718316462000000000,B,B,B,B,,,True,,,True,False,1.0,-6,2.0,209.0,"[""rat031"", ""rat033""]",rat031,rat033,0.0
41,2024-06-13,18:07:50.0,18:08:18.0,FM,right,,rat033,,,,,,"SL, IR tube",2024-06-13 18:07:50,2024-06-13 18:08:18,28.0,1718316470000000000,1718316498000000000,B,,,,,,,,,,,1.0,-6,2.0,245.0,"[NaN, ""rat033""]",,,-38.0
42,2024-06-13,18:08:09.0,18:08:14.0,R,right,,rat034,rat032,rat032,rat034,,,,2024-06-13 18:08:09,2024-06-13 18:08:14,5.0,1718316489000000000,1718316494000000000,B,B,B,B,,,True,,,True,False,1.0,-6,2.0,241.0,"[""rat032"", ""rat034""]",rat032,rat034,-609.0
43,2024-06-13,18:08:28.0,18:08:42.0,FM,right,,rat033,,,,,,"SL, IR tube",2024-06-13 18:08:28,2024-06-13 18:08:42,14.0,1718316508000000000,1718316522000000000,B,,,,,,,,,,,1.0,-6,2.0,269.0,"[NaN, ""rat033""]",,,0.0
4,2024-06-13,18:09:26.0,18:09:49.0,FM,left,,rat004,,,,,,"NL, turf, near corcob cage",2024-06-13 18:09:26,2024-06-13 18:09:49,23.0,1718316566000000000,1718316589000000000,A,,,,,,,,,,,1.0,-6,1.0,380.0,"[NaN, ""rat004""]",,,
44,2024-06-13,18:09:53.0,18:10:05.0,FM,right,,rat032,,,,,,"NL, on IR tube",2024-06-13 18:09:53,2024-06-13 18:10:05,12.0,1718316593000000000,1718316605000000000,B,,,,,,,,,,,1.0,-6,2.0,352.0,"[NaN, ""rat032""]",,,-508.0
